id,name,popularity,artist_id
4aTtHoSBB0CuQGA6vXBNyp,Home (feat. Bonn),64,60d24wfXkVzDSfLS6hyCjZ
5M9jOReAKGZ2AttVefFjTY,Don't Look Down (feat. Usher),66,60d24wfXkVzDSfLS6hyCjZ
6AE0G24YXnDyEgE4L0efpB,Tremor - Sensation 2014 Anthem,58,60d24wfXkVzDSfLS6hyCjZ
22zxLxXlXrBIm7XaazHNrg,Hold On (feat. Michel Zitron),65,60d24wfXkVzDSfLS6hyCjZ
5YN0zHycJ0Yxz31A5QsVov,These Are The Times (feat. JRM),63,60d24wfXkVzDSfLS6hyCjZ
7IWTIkiWGWNQyYfOLdMrGD,Burn Out (feat. Dewain Whitmore),63,60d24wfXkVzDSfLS6hyCjZ
18KjYhghq6K3ZmfcewWDp6,Mistaken (feat. Alex Aris),59,60d24wfXkVzDSfLS6hyCjZ
6EsH66Uto1zwZlDGQ6RokU,Forbidden Voices,63,60d24wfXkVzDSfLS6hyCjZ
1V0Zy7533bjXFSVtn3crzY,The Only Way Is Up,61,60d24wfXkVzDSfLS6hyCjZ
2Ceq5Ty6rJqazoZIWyS0Vc,Ocean (feat. Khalid) - David Guetta Remix,59,60d24wfXkVzDSfLS6hyCjZ
55y30bh2ZUtzOXjWLxn7XT,In the Name of Love - DallasK Remix,57,60d24wfXkVzDSfLS6hyCjZ
0mV5JWhyUFANd9qpwLkM8d,No Sleep (feat. Bonn) - DubVision Remix,60,60d24wfXkVzDSfLS6hyCjZ
29CjkGjZnDVdJsfbRoNOGJ,Scared to Be Lonely - Acoustic Version,62,60d24wfXkVzDSfLS6hyCjZ
5EwwwdsQfKI8ZnFG93j5Zu,Forever,59,60d24wfXkVzDSfLS6hyCjZ
6nLctpnQJiPTxkaSgbPKiw,Together,57,60d24wfXkVzDSfLS6hyCjZ
22SXyL6pUjwIvGWvgGjLov,Can't Feel My Face - Martin Garrix Remix,55,60d24wfXkVzDSfLS6hyCjZ
5HFPK8mcO6BGPZNeZPZI5L,Fire (with Elderbrook),73,60d24wfXkVzDSfLS6hyCjZ
0PjCgQF9Zd4nKbFGyfwnVN,You're Not Alone,65,60d24wfXkVzDSfLS6hyCjZ
5hxIWOdB3YAwuRMcdYUXNB,Ocean (feat. Khalid) - DubVision Remix,54,60d24wfXkVzDSfLS6hyCjZ
03IBnHJvOQBr4dy3RguAph,Like I Do,52,60d24wfXkVzDSfLS6hyCjZ
6GLzN6o2fkOupy8e1vGzwp,Virus (How About Now) - Radio Edit,55,60d24wfXkVzDSfLS6hyCjZ
55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,56,60d24wfXkVzDSfLS6hyCjZ
5aRwLXpWjgXmwoJvXoYvCq,Drown (feat. Clinton Kane) - Nicky Romero Remix,55,60d24wfXkVzDSfLS6hyCjZ
5oAgI7Pzg6vxuKrfapg3Pi,Pizza,57,60d24wfXkVzDSfLS6hyCjZ
20hsdn8oITBsuWNLhzr5eh,Byte,57,60d24wfXkVzDSfLS6hyCjZ
6lBQ0SMCrJ7zy1LSCuXqwV,Lions in the Wild,56,60d24wfXkVzDSfLS6hyCjZ
27YP211Rr8RezhiFVDLFI8,Waiting For Tomorrow (feat. Mike Shinoda),55,60d24wfXkVzDSfLS6hyCjZ
3ukWpmRHvpuDATCJkgLEkF,Virus (How About Now),52,60d24wfXkVzDSfLS6hyCjZ
2WW3PfGHh0aA2xCAyK6X1J,Poison,54,60d24wfXkVzDSfLS6hyCjZ
6JEntXLt4z98CcDtIH9sU7,Animals - Extended,51,60d24wfXkVzDSfLS6hyCjZ
1CT9ebtobcouQw7G9mZ9AV,Helicopter - Video Edit,51,60d24wfXkVzDSfLS6hyCjZ
24tVqMiAtv8jmpNPhBEsDY,Now That I've Found You,55,60d24wfXkVzDSfLS6hyCjZ
4hfYGVqQ0ElgeibMocRUvi,Wizard,48,60d24wfXkVzDSfLS6hyCjZ
3diDPfrvqfnXcCIYzU11eP,Used To Love - Acoustic Version,54,60d24wfXkVzDSfLS6hyCjZ
5Qw6359qWB9JdwIXYS0lxj,Project T - Martin Garrix Remix,45,60d24wfXkVzDSfLS6hyCjZ
3L3s97R0738xGQ2VqB12qo,Drown (feat. Clinton Kane) - Alle Farben Remix,54,60d24wfXkVzDSfLS6hyCjZ
0g5S3hPuTNFWRq2CbpXy9F,Animals - Victor Niglio & Martin Garrix Festival Trap Mix,41,60d24wfXkVzDSfLS6hyCjZ
389MC596K4IN35zaHAyuYz,Scared To Be Lonely - Brooks Remix,52,60d24wfXkVzDSfLS6hyCjZ
3vWtVy3fjfNzqQh7Je4l7Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Vintage Culture & Bruno Be Remix,51,60d24wfXkVzDSfLS6hyCjZ
7eq5JpRVLLNlmOLDcDWNAu,Feel Alive,50,60d24wfXkVzDSfLS6hyCjZ
2eotSKVADMMV6qaY15qDOd,Break Through The Silence - Radio Edit,53,60d24wfXkVzDSfLS6hyCjZ
5Zpe48RJ5Vs1YuFRodYdeS,Game Over,53,60d24wfXkVzDSfLS6hyCjZ
4yPWiRV6FrQTGm6qBX0WUV,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Haywyre Remix,49,60d24wfXkVzDSfLS6hyCjZ
0wUxh6XMc698xPCfgBaPRV,Dreamer,54,60d24wfXkVzDSfLS6hyCjZ
2TMUWZnH1zLFguzHUYYfgE,Higher Ground - Ferreck Dawn Remix,51,60d24wfXkVzDSfLS6hyCjZ
5vQIaNoKsT4xkG1j2KFBFs,Gold Skies,48,60d24wfXkVzDSfLS6hyCjZ
3iLzyDMXB7QXX2RjtmJFOn,Proxy,53,60d24wfXkVzDSfLS6hyCjZ
1GbVo45KvYX3chroJggkIx,Oops,51,60d24wfXkVzDSfLS6hyCjZ
0HT6YGHjXKNvnTjGGtur3j,Spotless,50,60d24wfXkVzDSfLS6hyCjZ
5Gi8lLH3edcexP99srU1Nl,Waiting For Tomorrow (feat. Mike Shinoda),51,60d24wfXkVzDSfLS6hyCjZ
1PYsy4cGp3egbeaQDjIGIa,Yottabyte,52,60d24wfXkVzDSfLS6hyCjZ
47knrBbYhqtrggWYSkU6h1,Glitch,50,60d24wfXkVzDSfLS6hyCjZ
7ekejMr4jz8UZOthhMVMKn,Bouncybob,51,60d24wfXkVzDSfLS6hyCjZ
1g99YoPWqouj3VYbUh8H2g,Backlash - Martin Garrix Radio Edit,41,60d24wfXkVzDSfLS6hyCjZ
6x7r0lpyqxBKGq8J7LFMeu,Sun Is Never Going Down (feat. Dawn Golden),50,60d24wfXkVzDSfLS6hyCjZ
3lBoISh2FvtpdQt1lsU9nN,Spotless,49,60d24wfXkVzDSfLS6hyCjZ
5dY4z8BEiOFYcaT7bAkkQn,Higher Ground - DubVision Extended Remix,46,60d24wfXkVzDSfLS6hyCjZ
13yeSbqDD7JSd7EWMOATV1,Dragon - Radio Edit,50,60d24wfXkVzDSfLS6hyCjZ
4oOQ5XZuR4ywDje9SjiA7d,Ocean (feat. Khalid) - Don Diablo Remix,47,60d24wfXkVzDSfLS6hyCjZ
6mKJp8IRfbgknChwXNH2Dk,Higher Ground - DubVision Remix,45,60d24wfXkVzDSfLS6hyCjZ
5qEK1dvlPMpOYZTBFPGGPV,Scared To Be Lonely - Conro Remix,48,60d24wfXkVzDSfLS6hyCjZ
1NKCqXjcYZ81Budit2CQMh,Sun Is Never Going Down (feat. Dawn Golden),50,60d24wfXkVzDSfLS6hyCjZ
